Exch|ExchType|Scripcode|Name
N|C|21238|AUBANK
N|C|21676|HINDMOTORS
N|C|21808|SBILIFE
N|C|27164|CINELINE
N|C|31258|NDL
N|C|159|MILTON
N|C|163|APOLLOTYRE
N|C|212|ASHOKLEY
N|C|236|ASIANPAINT
N|C|495|BLUEDART
N|C|513|BOMDYEING
N|C|694|CIPLA
N|C|676|EXIDEIND
N|C|685|CHOLAFIN
N|C|757|CRISIL
N|C|772|DABUR
N|C|21401|TATAGOLD
N|C|21428|TATSILV
